run,seed,i,j,true_name,selected,hit,tau_hat
0,3000,0,0,Student,Student,1,0.2207
0,3000,0,1,CubSec,CubSec,1,0.1414
0,3000,1,0,CubSec,Student,0,0.2370
0,3000,1,1,Clayton,Clayton,1,0.1169
1,3001,0,0,Student,Student,1,0.1822
1,3001,0,1,CubSec,GH,0,0.1568
1,3001,1,0,CubSec,GH,0,0.1151
1,3001,1,1,Clayton,Clayton,1,0.1779
2,3002,0,0,Student,Student,1,0.2235
2,3002,0,1,CubSec,CubSec,1,0.0912
2,3002,1,0,CubSec,Clayton,0,0.0517
2,3002,1,1,Clayton,Student,0,0.1350
3,3003,0,0,Student,Student,1,0.2560
3,3003,0,1,CubSec,Clayton,0,0.0672
3,3003,1,0,CubSec,CubSec,1,0.1430
3,3003,1,1,Clayton,Clayton,1,0.1886
4,3004,0,0,Student,Student,1,0.2142
4,3004,0,1,CubSec,CubSec,1,0.1208
4,3004,1,0,CubSec,Student,0,0.1553
4,3004,1,1,Clayton,Clayton,1,0.1263
5,3005,0,0,Student,Student,1,0.2440
5,3005,0,1,CubSec,GH,0,0.1028
5,3005,1,0,CubSec,Student,0,0.1369
5,3005,1,1,Clayton,Clayton,1,0.1950
6,3006,0,0,Student,Student,1,0.1952
6,3006,0,1,CubSec,CubSec,1,0.1515
6,3006,1,0,CubSec,CubSec,1,0.0718
6,3006,1,1,Clayton,Student,0,0.1870
7,3007,0,0,Student,Student,1,0.2599
7,3007,0,1,CubSec,GH,0,0.0922
7,3007,1,0,CubSec,GH,0,0.1137
7,3007,1,1,Clayton,Clayton,1,0.1818
8,3008,0,0,Student,Student,1,0.2055
8,3008,0,1,CubSec,CubSec,1,0.0000
8,3008,1,0,CubSec,CubSec,1,0.1217
8,3008,1,1,Clayton,Clayton,1,0.1768
9,3009,0,0,Student,Student,1,0.2270
9,3009,0,1,CubSec,GH,0,0.0656
9,3009,1,0,CubSec,CubSec,1,0.0209
9,3009,1,1,Clayton,Clayton,1,0.1257
10,3010,0,0,Student,Student,1,0.2751
10,3010,0,1,CubSec,Student,0,0.1917
10,3010,1,0,CubSec,CubSec,1,0.0758
10,3010,1,1,Clayton,Clayton,1,0.1637
11,3011,0,0,Student,Student,1,0.2301
11,3011,0,1,CubSec,GH,0,0.1286
11,3011,1,0,CubSec,Student,0,0.2393
11,3011,1,1,Clayton,Clayton,1,0.1274
12,3012,0,0,Student,Student,1,0.2409
12,3012,0,1,CubSec,Student,0,0.1049
12,3012,1,0,CubSec,GH,0,0.1141
12,3012,1,1,Clayton,Clayton,1,0.1727
13,3013,0,0,Student,Student,1,0.2250
13,3013,0,1,CubSec,Student,0,0.1824
13,3013,1,0,CubSec,GH,0,0.0922
13,3013,1,1,Clayton,Clayton,1,0.1701
14,3014,0,0,Student,Student,1,0.2160
14,3014,0,1,CubSec,Student,0,0.1059
14,3014,1,0,CubSec,Student,0,0.1952
14,3014,1,1,Clayton,Clayton,1,0.1059
15,3015,0,0,Student,Student,1,0.2293
15,3015,0,1,CubSec,GH,0,0.1458
15,3015,1,0,CubSec,Student,0,0.1304
15,3015,1,1,Clayton,Clayton,1,0.1394
16,3016,0,0,Student,Student,1,0.2211
16,3016,0,1,CubSec,CubSec,1,0.0160
16,3016,1,0,CubSec,Student,0,0.1957
16,3016,1,1,Clayton,Clayton,1,0.1732
17,3017,0,0,Student,Student,1,0.2199
17,3017,0,1,CubSec,GH,0,0.0786
17,3017,1,0,CubSec,GH,0,0.0805
17,3017,1,1,Clayton,Clayton,1,0.1649
18,3018,0,0,Student,Student,1,0.2512
18,3018,0,1,CubSec,Student,0,0.1585
18,3018,1,0,CubSec,Student,0,0.0542
18,3018,1,1,Clayton,Clayton,1,0.1570
19,3019,0,0,Student,Student,1,0.2607
19,3019,0,1,CubSec,CubSec,1,0.1446
19,3019,1,0,CubSec,Student,0,0.1207
19,3019,1,1,Clayton,Clayton,1,0.1688
20,3020,0,0,Student,Student,1,0.2333
20,3020,0,1,CubSec,CubSec,1,0.0509
20,3020,1,0,CubSec,GH,0,0.1222
20,3020,1,1,Clayton,Clayton,1,0.1043
21,3021,0,0,Student,Student,1,0.1777
21,3021,0,1,CubSec,GH,0,0.0798
21,3021,1,0,CubSec,Clayton,0,0.0888
