run,seed,i,j,true_name,selected,hit,tau_hat
0,3000,0,0,Student,Student,1,0.2233
0,3000,0,1,CubSec,GH,0,0.1315
0,3000,1,0,CubSec,GH,0,0.2094
0,3000,1,1,Clayton,Clayton,1,0.1087
1,3001,0,0,Student,Student,1,0.1831
1,3001,0,1,CubSec,GH,0,0.1538
1,3001,1,0,CubSec,GH,0,0.1181
1,3001,1,1,Clayton,Clayton,1,0.1781
2,3002,0,0,Student,Student,1,0.2283
2,3002,0,1,CubSec,GH,0,0.0799
2,3002,1,0,CubSec,Clayton,0,0.0598
2,3002,1,1,Clayton,Clayton,1,0.1487
3,3003,0,0,Student,Student,1,0.2655
3,3003,0,1,CubSec,CubSec,1,0.0491
3,3003,1,0,CubSec,CubSec,1,0.1377
3,3003,1,1,Clayton,Clayton,1,0.1937
4,3004,0,0,Student,Student,1,0.2223
4,3004,0,1,CubSec,GH,0,0.0891
4,3004,1,0,CubSec,GH,0,0.1289
4,3004,1,1,Clayton,Clayton,1,0.1216
5,3005,0,0,Student,Student,1,0.2440
5,3005,0,1,CubSec,GH,0,0.1028
5,3005,1,0,CubSec,Student,0,0.1369
5,3005,1,1,Clayton,Clayton,1,0.1950
6,3006,0,0,Student,Student,1,0.1963
6,3006,0,1,CubSec,Clayton,0,0.1120
6,3006,1,0,CubSec,GH,0,0.0680
6,3006,1,1,Clayton,Clayton,1,0.2058
7,3007,0,0,Student,Student,1,0.2601
7,3007,0,1,CubSec,GH,0,0.0958
7,3007,1,0,CubSec,GH,0,0.1125
7,3007,1,1,Clayton,Clayton,1,0.1816
8,3008,0,0,Student,Student,1,0.2056
8,3008,0,1,CubSec,CubSec,1,0.0000
8,3008,1,0,CubSec,CubSec,1,0.1219
8,3008,1,1,Clayton,Clayton,1,0.1769
9,3009,0,0,Student,Student,1,0.2235
9,3009,0,1,CubSec,GH,0,0.0700
9,3009,1,0,CubSec,CubSec,1,0.0270
9,3009,1,1,Clayton,Clayton,1,0.1249
10,3010,0,0,Student,Student,1,0.2765
10,3010,0,1,CubSec,GH,0,0.1775
10,3010,1,0,CubSec,CubSec,1,0.0825
10,3010,1,1,Clayton,Clayton,1,0.1587
11,3011,0,0,Student,Student,1,0.2304
11,3011,0,1,CubSec,GH,0,0.1278
11,3011,1,0,CubSec,Student,0,0.2376
11,3011,1,1,Clayton,Clayton,1,0.1293
12,3012,0,0,Student,Student,1,0.2409
12,3012,0,1,CubSec,Student,0,0.1049
12,3012,1,0,CubSec,GH,0,0.1141
