run,seed,i,j,true_name,selected,hit,tau_hat
0,3000,0,0,Student,GH,0,0.2120
0,3000,0,1,CubSec,CubSec,1,0.1239
0,3000,1,0,CubSec,GH,0,0.1954
0,3000,1,1,Clayton,Clayton,1,0.1369
1,3001,0,0,Student,GH,0,0.2298
1,3001,0,1,CubSec,GH,0,0.1046
1,3001,1,0,CubSec,GH,0,0.0813
1,3001,1,1,Clayton,Clayton,1,0.1877
2,3002,0,0,Student,GH,0,0.2879
2,3002,0,1,CubSec,GH,0,0.0083
2,3002,1,0,CubSec,CubSec,1,0.0000
2,3002,1,1,Clayton,Clayton,1,0.1625
3,3003,0,0,Student,GH,0,0.3002
3,3003,0,1,CubSec,CubSec,1,0.0003
3,3003,1,0,CubSec,CubSec,1,0.0695
3,3003,1,1,Clayton,Clayton,1,0.1913
4,3004,0,0,Student,GH,0,0.2878
4,3004,0,1,CubSec,CubSec,1,0.0706
4,3004,1,0,CubSec,CubSec,1,0.0709
4,3004,1,1,Clayton,GH,0,0.0398
5,3005,0,0,Student,GH,0,0.2122
5,3005,0,1,CubSec,GH,0,0.0780
5,3005,1,0,CubSec,GH,0,0.0836
5,3005,1,1,Clayton,Clayton,1,0.2139
6,3006,0,0,Student,GH,0,0.2712
6,3006,0,1,CubSec,CubSec,1,0.0884
6,3006,1,0,CubSec,GH,0,0.0035
6,3006,1,1,Clayton,GH,0,0.1164
7,3007,0,0,Student,GH,0,0.3290
7,3007,0,1,CubSec,CubSec,1,0.0000
7,3007,1,0,CubSec,CubSec,1,0.0563
7,3007,1,1,Clayton,Clayton,1,0.1953
8,3008,0,0,Student,GH,0,0.2548
8,3008,0,1,CubSec,CubSec,1,0.0000
8,3008,1,0,CubSec,CubSec,1,0.0782
8,3008,1,1,Clayton,CubSec,0,0.1229
9,3009,0,0,Student,GH,0,0.2645
9,3009,0,1,CubSec,CubSec,1,0.0309
9,3009,1,0,CubSec,CubSec,1,0.0000
9,3009,1,1,Clayton,Clayton,1,0.1421
10,3010,0,0,Student,GH,0,0.3426
10,3010,0,1,CubSec,GH,0,0.1116
10,3010,1,0,CubSec,CubSec,1,0.0322
10,3010,1,1,Clayton,GH,0,0.0839
11,3011,0,0,Student,GH,0,0.2777
11,3011,0,1,CubSec,GH,0,0.0737
11,3011,1,0,CubSec,GH,0,0.1590
11,3011,1,1,Clayton,Clayton,1,0.1286
12,3012,0,0,Student,GH,0,0.2928
12,3012,0,1,CubSec,GH,0,0.0273
12,3012,1,0,CubSec,CubSec,1,0.0713
12,3012,1,1,Clayton,Clayton,1,0.1758
13,3013,0,0,Student,GH,0,0.1697
13,3013,0,1,CubSec,GH,0,0.1199
13,3013,1,0,CubSec,Clayton,0,0.0022
13,3013,1,1,Clayton,Clayton,1,0.1892
14,3014,0,0,Student,GH,0,0.3131
14,3014,0,1,CubSec,GH,0,0.0143
14,3014,1,0,CubSec,GH,0,0.0622
14,3014,1,1,Clayton,CubSec,0,0.1036
15,3015,0,0,Student,GH,0,0.3033
15,3015,0,1,CubSec,GH,0,0.0610
15,3015,1,0,CubSec,GH,0,0.0528
15,3015,1,1,Clayton,Clayton,1,0.1464
16,3016,0,0,Student,GH,0,0.2989
16,3016,0,1,CubSec,CubSec,1,0.0000
16,3016,1,0,CubSec,GH,0,0.1031
16,3016,1,1,Clayton,CubSec,0,0.1540
17,3017,0,0,Student,GH,0,0.2772
17,3017,0,1,CubSec,GH,0,0.0268
17,3017,1,0,CubSec,CubSec,1,0.0000
17,3017,1,1,Clayton,Clayton,1,0.1740
18,3018,0,0,Student,GH,0,0.3001
18,3018,0,1,CubSec,GH,0,0.0807
18,3018,1,0,CubSec,CubSec,1,0.0000
18,3018,1,1,Clayton,Clayton,1,0.1611
19,3019,0,0,Student,GH,0,0.3246
19,3019,0,1,CubSec,CubSec,1,0.0619
19,3019,1,0,CubSec,GH,0,0.0366
19,3019,1,1,Clayton,Clayton,1,0.1667
20,3020,0,0,Student,GH,0,0.2597
20,3020,0,1,CubSec,CubSec,1,0.0000
20,3020,1,0,CubSec,GH,0,0.0703
20,3020,1,1,Clayton,Clayton,1,0.1107
21,3021,0,0,Student,GH,0,0.2563
21,3021,0,1,CubSec,CubSec,1,0.0135
21,3021,1,0,CubSec,GH,0,0.0522
21,3021,1,1,Clayton,CubSec,0,0.1238
22,3022,0,0,Student,GH,0,0.2621
22,3022,0,1,CubSec,GH,0,0.1017
22,3022,1,0,CubSec,GH,0,0.1006
22,3022,1,1,Clayton,GH,0,0.0242
23,3023,0,0,Student,GH,0,0.3023
23,3023,0,1,CubSec,CubSec,1,0.0424
23,3023,1,0,CubSec,CubSec,1,0.0466
23,3023,1,1,Clayton,Clayton,1,0.1803
24,3024,0,0,Student,GH,0,0.2914
24,3024,0,1,CubSec,GH,0,0.0351
24,3024,1,0,CubSec,GH,0,0.0875
24,3024,1,1,Clayton,Clayton,1,0.1522
25,3025,0,0,Student,GH,0,0.2793
25,3025,0,1,CubSec,Clayton,0,0.0247
25,3025,1,0,CubSec,Clayton,0,0.0116
25,3025,1,1,Clayton,GH,0,0.0628
26,3026,0,0,Student,GH,0,0.2678
26,3026,0,1,CubSec,CubSec,1,0.1046
26,3026,1,0,CubSec,GH,0,0.1198
26,3026,1,1,Clayton,GH,0,0.0647
27,3027,0,0,Student,GH,0,0.2300
27,3027,0,1,CubSec,CubSec,1,0.0000
27,3027,1,0,CubSec,CubSec,1,0.1105
27,3027,1,1,Clayton,GH,0,0.0567
28,3028,0,0,Student,GH,0,0.3220
28,3028,0,1,CubSec,CubSec,1,0.0000
28,3028,1,0,CubSec,Clayton,0,0.0231
28,3028,1,1,Clayton,Clayton,1,0.1881
29,3029,0,0,Student,GH,0,0.3285
29,3029,0,1,CubSec,GH,0,0.0001
29,3029,1,0,CubSec,GH,0,0.0456
29,3029,1,1,Clayton,Clayton,1,0.1776
30,3030,0,0,Student,GH,0,0.3068
30,3030,0,1,CubSec,CubSec,1,0.0557
30,3030,1,0,CubSec,GH,0,0.0278
30,3030,1,1,Clayton,Clayton,1,0.2019
31,3031,0,0,Student,GH,0,0.3365
31,3031,0,1,CubSec,GH,0,0.1059
31,3031,1,0,CubSec,GH,0,0.0001
31,3031,1,1,Clayton,Clayton,1,0.1706
32,3032,0,0,Student,GH,0,0.3067
32,3032,0,1,CubSec,CubSec,1,0.0490
32,3032,1,0,CubSec,CubSec,1,0.1049
32,3032,1,1,Clayton,Clayton,1,0.2099
33,3033,0,0,Student,GH,0,0.3081
33,3033,0,1,CubSec,GH,0,0.0396
33,3033,1,0,CubSec,CubSec,1,0.0780
33,3033,1,1,Clayton,CubSec,0,0.1233
34,3034,0,0,Student,GH,0,0.2588
34,3034,0,1,CubSec,GH,0,0.0343
34,3034,1,0,CubSec,Clayton,0,0.0001
34,3034,1,1,Clayton,Clayton,1,0.1697
35,3035,0,0,Student,GH,0,0.3082
35,3035,0,1,CubSec,CubSec,1,0.0506
35,3035,1,0,CubSec,CubSec,1,0.0222
35,3035,1,1,Clayton,CubSec,0,0.1191
36,3036,0,0,Student,GH,0,0.3301
36,3036,0,1,CubSec,GH,0,0.1119
36,3036,1,0,CubSec,GH,0,0.0152
36,3036,1,1,Clayton,Clayton,1,0.1938
37,3037,0,0,Student,GH,0,0.3186
37,3037,0,1,CubSec,CubSec,1,0.0830
37,3037,1,0,CubSec,GH,0,0.0289
37,3037,1,1,Clayton,Clayton,1,0.1951
38,3038,0,0,Student,GH,0,0.2885
38,3038,0,1,CubSec,CubSec,1,0.0959
38,3038,1,0,CubSec,CubSec,1,0.0561
38,3038,1,1,Clayton,Clayton,1,0.1916
39,3039,0,0,Student,GH,0,0.3588
39,3039,0,1,CubSec,GH,0,0.0001
39,3039,1,0,CubSec,CubSec,1,0.0000
39,3039,1,1,Clayton,Clayton,1,0.2092
40,3040,0,0,Student,GH,0,0.1650
40,3040,0,1,CubSec,Clayton,0,0.0001
