run,seed,i,j,true_name,selected,hit,tau_hat
0,3000,0,0,Student,Student,1,0.2147
0,3000,0,1,CubSec,Student,0,0.1487
0,3000,1,0,CubSec,Student,0,0.2306
0,3000,1,1,Clayton,Student,0,0.1105
1,3001,0,0,Student,Student,1,0.1809
1,3001,0,1,CubSec,Student,0,0.1579
1,3001,1,0,CubSec,GH,0,0.1176
1,3001,1,1,Clayton,Clayton,1,0.1844
2,3002,0,0,Student,Student,1,0.2271
2,3002,0,1,CubSec,CubSec,1,0.0856
2,3002,1,0,CubSec,Clayton,0,0.0537
2,3002,1,1,Clayton,Student,0,0.1382
3,3003,0,0,Student,Student,1,0.2615
3,3003,0,1,CubSec,CubSec,1,0.0648
3,3003,1,0,CubSec,CubSec,1,0.1421
3,3003,1,1,Clayton,Clayton,1,0.1927
4,3004,0,0,Student,Student,1,0.2132
4,3004,0,1,CubSec,Student,0,0.1268
4,3004,1,0,CubSec,Student,0,0.1550
4,3004,1,1,Clayton,Clayton,1,0.1244
5,3005,0,0,Student,Student,1,0.2394
5,3005,0,1,CubSec,Student,0,0.1182
5,3005,1,0,CubSec,Student,0,0.1371
5,3005,1,1,Clayton,Clayton,1,0.1985
6,3006,0,0,Student,Student,1,0.1960
6,3006,0,1,CubSec,CubSec,1,0.1488
6,3006,1,0,CubSec,CubSec,1,0.0680
6,3006,1,1,Clayton,Student,0,0.1896
7,3007,0,0,Student,Student,1,0.2545
7,3007,0,1,CubSec,Student,0,0.0814
7,3007,1,0,CubSec,Student,0,0.1373
7,3007,1,1,Clayton,Clayton,1,0.1873
8,3008,0,0,Student,Student,1,0.2066
8,3008,0,1,CubSec,Student,0,-0.0330
8,3008,1,0,CubSec,CubSec,1,0.1180
8,3008,1,1,Clayton,Clayton,1,0.1765
9,3009,0,0,Student,Student,1,0.2257
9,3009,0,1,CubSec,CubSec,1,0.0929
9,3009,1,0,CubSec,CubSec,1,0.0156
9,3009,1,1,Clayton,Clayton,1,0.1338
10,3010,0,0,Student,Student,1,0.2739
10,3010,0,1,CubSec,Student,0,0.1928
10,3010,1,0,CubSec,CubSec,1,0.0835
10,3010,1,1,Clayton,Clayton,1,0.1647
11,3011,0,0,Student,Student,1,0.2263
11,3011,0,1,CubSec,GH,0,0.1245
11,3011,1,0,CubSec,Student,0,0.2371
11,3011,1,1,Clayton,Student,0,0.1150
12,3012,0,0,Student,Student,1,0.2354
12,3012,0,1,CubSec,Student,0,0.1104
12,3012,1,0,CubSec,Student,0,0.1428
12,3012,1,1,Clayton,Clayton,1,0.1718
13,3013,0,0,Student,Student,1,0.2236
13,3013,0,1,CubSec,Student,0,0.1870
13,3013,1,0,CubSec,Student,0,0.0830
13,3013,1,1,Clayton,Clayton,1,0.1704
14,3014,0,0,Student,Student,1,0.2145
14,3014,0,1,CubSec,Student,0,0.1088
14,3014,1,0,CubSec,Student,0,0.1925
14,3014,1,1,Clayton,Student,0,0.1114
15,3015,0,0,Student,Student,1,0.2246
15,3015,0,1,CubSec,Student,0,0.1514
15,3015,1,0,CubSec,Student,0,0.1345
15,3015,1,1,Clayton,Clayton,1,0.1433
16,3016,0,0,Student,Student,1,0.2212
16,3016,0,1,CubSec,CubSec,1,0.0141
16,3016,1,0,CubSec,Student,0,0.1958
16,3016,1,1,Clayton,Clayton,1,0.1732
17,3017,0,0,Student,Student,1,0.2131
17,3017,0,1,CubSec,CubSec,1,0.1143
17,3017,1,0,CubSec,Student,0,0.0859
17,3017,1,1,Clayton,Clayton,1,0.1697
18,3018,0,0,Student,Student,1,0.2512
18,3018,0,1,CubSec,Student,0,0.1585
18,3018,1,0,CubSec,Student,0,0.0542
18,3018,1,1,Clayton,Clayton,1,0.1570
19,3019,0,0,Student,Student,1,0.2606
19,3019,0,1,CubSec,CubSec,1,0.1439
19,3019,1,0,CubSec,Student,0,0.1238
19,3019,1,1,Clayton,Clayton,1,0.1626
20,3020,0,0,Student,Student,1,0.2338
20,3020,0,1,CubSec,CubSec,1,0.0456
20,3020,1,0,CubSec,Student,0,0.1312
20,3020,1,1,Clayton,Clayton,1,0.1077
21,3021,0,0,Student,Student,1,0.1766
21,3021,0,1,CubSec,CubSec,1,0.1006
21,3021,1,0,CubSec,Student,0,0.1097
21,3021,1,1,Clayton,Clayton,1,0.1689
22,3022,0,0,Student,Student,1,0.2100
22,3022,0,1,CubSec,CubSec,1,0.1629
22,3022,1,0,CubSec,Student,0,0.1517
22,3022,1,1,Clayton,Clayton,1,0.1742
23,3023,0,0,Student,Student,1,0.2155
23,3023,0,1,CubSec,Clayton,0,0.1334
23,3023,1,0,CubSec,CubSec,1,0.1413
23,3023,1,1,Clayton,Student,0,0.1489
24,3024,0,0,Student,Student,1,0.2265
24,3024,0,1,CubSec,Student,0,0.1082
24,3024,1,0,CubSec,Student,0,0.1939
24,3024,1,1,Clayton,Clayton,1,0.1507
25,3025,0,0,Student,Student,1,0.2172
25,3025,0,1,CubSec,CubSec,1,0.1175
25,3025,1,0,CubSec,Student,0,0.1097
25,3025,1,1,Clayton,Clayton,1,0.1673
26,3026,0,0,Student,Student,1,0.2050
26,3026,0,1,CubSec,CubSec,1,0.1429
26,3026,1,0,CubSec,Student,0,0.1766
26,3026,1,1,Clayton,Clayton,1,0.1938
27,3027,0,0,Student,Student,1,0.1656
27,3027,0,1,CubSec,Clayton,0,0.0184
27,3027,1,0,CubSec,CubSec,1,0.1499
27,3027,1,1,Clayton,Clayton,1,0.1780
28,3028,0,0,Student,Student,1,0.2419
28,3028,0,1,CubSec,CubSec,1,0.0952
28,3028,1,0,CubSec,Student,0,0.1882
28,3028,1,1,Clayton,Clayton,1,0.1785
29,3029,0,0,Student,Student,1,0.2626
29,3029,0,1,CubSec,CubSec,1,0.0868
29,3029,1,0,CubSec,Student,0,0.1469
29,3029,1,1,Clayton,Clayton,1,0.1732
30,3030,0,0,Student,Student,1,0.2581
30,3030,0,1,CubSec,Student,0,0.1308
30,3030,1,0,CubSec,Student,0,0.0787
30,3030,1,1,Clayton,Clayton,1,0.1950
31,3031,0,0,Student,Student,1,0.2796
31,3031,0,1,CubSec,Student,0,0.1924
31,3031,1,0,CubSec,CubSec,1,0.0636
31,3031,1,1,Clayton,Clayton,1,0.1768
32,3032,0,0,Student,Student,1,0.2433
32,3032,0,1,CubSec,CubSec,1,0.1417
32,3032,1,0,CubSec,CubSec,1,0.1632
32,3032,1,1,Clayton,Clayton,1,0.2005
33,3033,0,0,Student,Student,1,0.2454
33,3033,0,1,CubSec,GH,0,0.0796
33,3033,1,0,CubSec,Student,0,0.1290
33,3033,1,1,Clayton,Clayton,1,0.1344
34,3034,0,0,Student,Student,1,0.2338
34,3034,0,1,CubSec,Student,0,0.1503
34,3034,1,0,CubSec,CubSec,1,0.1016
34,3034,1,1,Clayton,Clayton,1,0.1563
35,3035,0,0,Student,Student,1,0.2336
35,3035,0,1,CubSec,CubSec,1,0.1494
35,3035,1,0,CubSec,CubSec,1,0.0995
35,3035,1,1,Clayton,Clayton,1,0.1701
36,3036,0,0,Student,Student,1,0.2656
36,3036,0,1,CubSec,Student,0,0.1707
36,3036,1,0,CubSec,Student,0,0.0901
36,3036,1,1,Clayton,Student,0,0.1619
