run,seed,i,j,true_name,selected,hit,tau_hat
0,3000,0,0,Student,Student,1,0.2189
0,3000,0,1,CubSec,Student,0,0.1453
0,3000,1,0,CubSec,Student,0,0.2321
0,3000,1,1,Clayton,Clayton,1,0.1178
1,3001,0,0,Student,Student,1,0.1818
1,3001,0,1,CubSec,GH,0,0.1562
1,3001,1,0,CubSec,GH,0,0.1159
1,3001,1,1,Clayton,Clayton,1,0.1777
2,3002,0,0,Student,Student,1,0.2262
2,3002,0,1,CubSec,CubSec,1,0.0882
2,3002,1,0,CubSec,Clayton,0,0.0502
2,3002,1,1,Clayton,Student,0,0.1361
3,3003,0,0,Student,Student,1,0.2597
3,3003,0,1,CubSec,Clayton,0,0.0606
3,3003,1,0,CubSec,CubSec,1,0.1448
3,3003,1,1,Clayton,Clayton,1,0.1943
4,3004,0,0,Student,Student,1,0.2132
4,3004,0,1,CubSec,Student,0,0.1268
4,3004,1,0,CubSec,Student,0,0.1550
4,3004,1,1,Clayton,Clayton,1,0.1244
5,3005,0,0,Student,Student,1,0.2440
5,3005,0,1,CubSec,GH,0,0.1028
5,3005,1,0,CubSec,Student,0,0.1369
5,3005,1,1,Clayton,Clayton,1,0.1950
6,3006,0,0,Student,Student,1,0.1978
6,3006,0,1,CubSec,Student,0,0.1491
6,3006,1,0,CubSec,Student,0,0.0489
6,3006,1,1,Clayton,Clayton,1,0.2031
7,3007,0,0,Student,Student,1,0.2559
7,3007,0,1,CubSec,GH,0,0.0880
7,3007,1,0,CubSec,Student,0,0.1382
7,3007,1,1,Clayton,Clayton,1,0.1855
8,3008,0,0,Student,Student,1,0.2055
8,3008,0,1,CubSec,CubSec,1,0.0000
8,3008,1,0,CubSec,CubSec,1,0.1217
8,3008,1,1,Clayton,Clayton,1,0.1768
9,3009,0,0,Student,Student,1,0.2279
9,3009,0,1,CubSec,GH,0,0.0681
9,3009,1,0,CubSec,Clayton,0,0.0001
9,3009,1,1,Clayton,Clayton,1,0.1297
10,3010,0,0,Student,Student,1,0.2739
10,3010,0,1,CubSec,Student,0,0.1928
10,3010,1,0,CubSec,CubSec,1,0.0835
10,3010,1,1,Clayton,Clayton,1,0.1647
11,3011,0,0,Student,Student,1,0.2301
11,3011,0,1,CubSec,GH,0,0.1286
11,3011,1,0,CubSec,Student,0,0.2393
11,3011,1,1,Clayton,Clayton,1,0.1274
12,3012,0,0,Student,Student,1,0.2354
12,3012,0,1,CubSec,Student,0,0.1104
12,3012,1,0,CubSec,Student,0,0.1428
12,3012,1,1,Clayton,Clayton,1,0.1718
13,3013,0,0,Student,Student,1,0.2236
13,3013,0,1,CubSec,Student,0,0.1870
13,3013,1,0,CubSec,Student,0,0.0830
13,3013,1,1,Clayton,Clayton,1,0.1704
14,3014,0,0,Student,Student,1,0.2145
14,3014,0,1,CubSec,Student,0,0.1088
14,3014,1,0,CubSec,Student,0,0.1925
14,3014,1,1,Clayton,Student,0,0.1114
15,3015,0,0,Student,Student,1,0.2288
15,3015,0,1,CubSec,GH,0,0.1442
15,3015,1,0,CubSec,Student,0,0.1322
15,3015,1,1,Clayton,Clayton,1,0.1398
16,3016,0,0,Student,Student,1,0.2211
16,3016,0,1,CubSec,CubSec,1,0.0160
16,3016,1,0,CubSec,Student,0,0.1957
16,3016,1,1,Clayton,Clayton,1,0.1732
17,3017,0,0,Student,Student,1,0.2153
17,3017,0,1,CubSec,CubSec,1,0.1072
17,3017,1,0,CubSec,GH,0,0.0919
17,3017,1,1,Clayton,Clayton,1,0.1675
18,3018,0,0,Student,Student,1,0.2512
18,3018,0,1,CubSec,Student,0,0.1585
18,3018,1,0,CubSec,GH,0,0.0496
18,3018,1,1,Clayton,Clayton,1,0.1570
19,3019,0,0,Student,Student,1,0.2645
19,3019,0,1,CubSec,CubSec,1,0.1264
19,3019,1,0,CubSec,GH,0,0.1067
19,3019,1,1,Clayton,Clayton,1,0.1650
20,3020,0,0,Student,Student,1,0.2338
20,3020,0,1,CubSec,CubSec,1,0.0456
20,3020,1,0,CubSec,Student,0,0.1312
20,3020,1,1,Clayton,Clayton,1,0.1077
21,3021,0,0,Student,Student,1,0.1761
21,3021,0,1,CubSec,CubSec,1,0.1002
21,3021,1,0,CubSec,Student,0,0.1129
21,3021,1,1,Clayton,Clayton,1,0.1666
22,3022,0,0,Student,Student,1,0.2100
22,3022,0,1,CubSec,CubSec,1,0.1629
22,3022,1,0,CubSec,Student,0,0.1517
22,3022,1,1,Clayton,Clayton,1,0.1742
23,3023,0,0,Student,Student,1,0.2139
23,3023,0,1,CubSec,Clayton,0,0.1341
23,3023,1,0,CubSec,CubSec,1,0.1501
23,3023,1,1,Clayton,Student,0,0.1505
24,3024,0,0,Student,Student,1,0.2265
24,3024,0,1,CubSec,Student,0,0.1082
24,3024,1,0,CubSec,Student,0,0.1939
24,3024,1,1,Clayton,Clayton,1,0.1507
25,3025,0,0,Student,Student,1,0.2172
25,3025,0,1,CubSec,CubSec,1,0.1175
25,3025,1,0,CubSec,Student,0,0.1097
25,3025,1,1,Clayton,Clayton,1,0.1673
26,3026,0,0,Student,Student,1,0.2050
26,3026,0,1,CubSec,CubSec,1,0.1429
26,3026,1,0,CubSec,Student,0,0.1766
26,3026,1,1,Clayton,Clayton,1,0.1938
27,3027,0,0,Student,Student,1,0.1632
27,3027,0,1,CubSec,Clayton,0,0.0219
27,3027,1,0,CubSec,Student,0,0.1496
27,3027,1,1,Clayton,Clayton,1,0.1735
28,3028,0,0,Student,Student,1,0.2419
28,3028,0,1,CubSec,CubSec,1,0.0952
28,3028,1,0,CubSec,Student,0,0.1882
28,3028,1,1,Clayton,Clayton,1,0.1785
29,3029,0,0,Student,Student,1,0.2626
29,3029,0,1,CubSec,CubSec,1,0.0868
29,3029,1,0,CubSec,Student,0,0.1469
29,3029,1,1,Clayton,Clayton,1,0.1732
30,3030,0,0,Student,Student,1,0.2546
30,3030,0,1,CubSec,Clayton,0,0.1123
30,3030,1,0,CubSec,Student,0,0.0879
30,3030,1,1,Clayton,Clayton,1,0.1984
31,3031,0,0,Student,Student,1,0.2796
31,3031,0,1,CubSec,Student,0,0.1924
31,3031,1,0,CubSec,CubSec,1,0.0636
31,3031,1,1,Clayton,Clayton,1,0.1768
32,3032,0,0,Student,Student,1,0.2433
32,3032,0,1,CubSec,CubSec,1,0.1417
32,3032,1,0,CubSec,CubSec,1,0.1632
32,3032,1,1,Clayton,Clayton,1,0.2005
33,3033,0,0,Student,Student,1,0.2501
33,3033,0,1,CubSec,GH,0,0.0786
33,3033,1,0,CubSec,CubSec,1,0.1300
33,3033,1,1,Clayton,Clayton,1,0.1383
34,3034,0,0,Student,Student,1,0.2329
34,3034,0,1,CubSec,Student,0,0.1604
34,3034,1,0,CubSec,Clayton,0,0.0659
34,3034,1,1,Clayton,Clayton,1,0.1627
35,3035,0,0,Student,Student,1,0.2332
35,3035,0,1,CubSec,CubSec,1,0.1454
35,3035,1,0,CubSec,CubSec,1,0.0985
35,3035,1,1,Clayton,Clayton,1,0.1690
36,3036,0,0,Student,Student,1,0.2685
36,3036,0,1,CubSec,Student,0,0.1683
36,3036,1,0,CubSec,GH,0,0.0761
36,3036,1,1,Clayton,Student,0,0.1583
37,3037,0,0,Student,Student,1,0.2675
37,3037,0,1,CubSec,CubSec,1,0.1494
37,3037,1,0,CubSec,GH,0,0.0597
37,3037,1,1,Clayton,Student,0,0.1960
38,3038,0,0,Student,Student,1,0.2232
38,3038,0,1,CubSec,CubSec,1,0.1491
38,3038,1,0,CubSec,CubSec,1,0.1234
38,3038,1,1,Clayton,Student,0,0.1677
39,3039,0,0,Student,Student,1,0.3188
39,3039,0,1,CubSec,Clayton,0,0.0001
39,3039,1,0,CubSec,Clayton,0,0.0404
39,3039,1,1,Clayton,Clayton,1,0.2238
40,3040,0,0,Student,Student,1,0.2154
40,3040,0,1,CubSec,Student,0,0.0878
40,3040,1,0,CubSec,CubSec,1,0.1276
40,3040,1,1,Clayton,Clayton,1,0.1888
41,3041,0,0,Student,Student,1,0.2327
41,3041,0,1,CubSec,Student,0,0.1699
41,3041,1,0,CubSec,Student,0,0.1539
41,3041,1,1,Clayton,Student,0,0.1784
42,3042,0,0,Student,Student,1,0.2025
42,3042,0,1,CubSec,CubSec,1,0.0884
42,3042,1,0,CubSec,CubSec,1,0.0898
42,3042,1,1,Clayton,Clayton,1,0.1803
43,3043,0,0,Student,Student,1,0.1954
43,3043,0,1,CubSec,Student,0,0.0407
43,3043,1,0,CubSec,Student,0,0.0784
43,3043,1,1,Clayton,Clayton,1,0.1744
44,3044,0,0,Student,Student,1,0.1954
44,3044,0,1,CubSec,GH,0,0.0923
44,3044,1,0,CubSec,GH,0,0.0546
44,3044,1,1,Clayton,Clayton,1,0.2066
45,3045,0,0,Student,Student,1,0.2604
45,3045,0,1,CubSec,GH,0,0.0615
45,3045,1,0,CubSec,GH,0,0.0424
45,3045,1,1,Clayton,Clayton,1,0.2102
46,3046,0,0,Student,Student,1,0.2134
46,3046,0,1,CubSec,Student,0,0.1897
46,3046,1,0,CubSec,Student,0,0.1299
46,3046,1,1,Clayton,Student,0,0.1260
47,3047,0,0,Student,Student,1,0.2584
47,3047,0,1,CubSec,Clayton,0,0.0484
47,3047,1,0,CubSec,CubSec,1,0.1130
47,3047,1,1,Clayton,Student,0,0.2194
48,3048,0,0,Student,Student,1,0.2561
48,3048,0,1,CubSec,Student,0,0.1528
48,3048,1,0,CubSec,GH,0,0.1089
48,3048,1,1,Clayton,Clayton,1,0.1373
49,3049,0,0,Student,Student,1,0.2600
49,3049,0,1,CubSec,GH,0,0.1076
49,3049,1,0,CubSec,GH,0,0.1444
49,3049,1,1,Clayton,Clayton,1,0.1539
50,3050,0,0,Student,Student,1,0.2215
50,3050,0,1,CubSec,GH,0,0.0695
50,3050,1,0,CubSec,CubSec,1,0.0985
50,3050,1,1,Clayton,Clayton,1,0.1454
51,3051,0,0,Student,Student,1,0.2299
51,3051,0,1,CubSec,GH,0,0.1076
51,3051,1,0,CubSec,Student,0,0.1175
51,3051,1,1,Clayton,Clayton,1,0.2159
52,3052,0,0,Student,Student,1,0.2313
52,3052,0,1,CubSec,GH,0,0.0852
52,3052,1,0,CubSec,Student,0,0.1706
52,3052,1,1,Clayton,Clayton,1,0.1795
53,3053,0,0,Student,Student,1,0.2414
53,3053,0,1,CubSec,Student,0,0.1514
53,3053,1,0,CubSec,CubSec,1,0.0931
53,3053,1,1,Clayton,Student,0,0.1332
54,3054,0,0,Student,Student,1,0.2373
54,3054,0,1,CubSec,CubSec,1,0.1086
54,3054,1,0,CubSec,CubSec,1,0.1650
54,3054,1,1,Clayton,Clayton,1,0.1613
