run,seed,i,j,true_name,selected,hit,tau_hat
0,3000,0,0,Student,Student,1,0.2557
0,3000,0,1,CubSec,CubSec,1,0.1650
0,3000,1,0,CubSec,GH,0,0.1891
0,3000,1,1,Clayton,Clayton,1,0.1701
1,3001,0,0,Student,Student,1,0.2375
1,3001,0,1,CubSec,GH,0,0.1038
1,3001,1,0,CubSec,GH,0,0.1500
1,3001,1,1,Clayton,Clayton,1,0.1840
2,3002,0,0,Student,Student,1,0.2150
2,3002,0,1,CubSec,Student,0,0.0354
2,3002,1,0,CubSec,CubSec,1,0.0107
2,3002,1,1,Clayton,Clayton,1,0.1950
3,3003,0,0,Student,Student,1,0.2455
3,3003,0,1,CubSec,Clayton,0,0.0118
3,3003,1,0,CubSec,CubSec,1,0.1459
3,3003,1,1,Clayton,Clayton,1,0.1862
4,3004,0,0,Student,Student,1,0.2005
4,3004,0,1,CubSec,GH,0,0.1698
4,3004,1,0,CubSec,GH,0,0.1943
4,3004,1,1,Clayton,Clayton,1,0.1792
5,3005,0,0,Student,Student,1,0.2314
5,3005,0,1,CubSec,GH,0,0.1019
5,3005,1,0,CubSec,Student,0,0.1927
5,3005,1,1,Clayton,CubSec,0,0.1650
6,3006,0,0,Student,Student,1,0.2425
6,3006,0,1,CubSec,CubSec,1,0.1650
6,3006,1,0,CubSec,GH,0,0.0597
6,3006,1,1,Clayton,Clayton,1,0.1856
7,3007,0,0,Student,Student,1,0.2381
7,3007,0,1,CubSec,Student,0,-0.0051
7,3007,1,0,CubSec,GH,0,0.0163
7,3007,1,1,Clayton,Clayton,1,0.2262
8,3008,0,0,Student,Student,1,0.2335
8,3008,0,1,CubSec,CubSec,1,0.0000
8,3008,1,0,CubSec,Student,0,0.0986
8,3008,1,1,Clayton,Clayton,1,0.1599
9,3009,0,0,Student,Student,1,0.2051
9,3009,0,1,CubSec,Student,0,0.1037
9,3009,1,0,CubSec,GH,0,0.0997
9,3009,1,1,Clayton,Clayton,1,0.1629
10,3010,0,0,Student,Student,1,0.2548
10,3010,0,1,CubSec,CubSec,1,0.1650
10,3010,1,0,CubSec,CubSec,1,0.1650
10,3010,1,1,Clayton,Clayton,1,0.2064
11,3011,0,0,Student,Student,1,0.2446
11,3011,0,1,CubSec,GH,0,0.1797
11,3011,1,0,CubSec,Student,0,0.2598
11,3011,1,1,Clayton,Clayton,1,0.2077
12,3012,0,0,Student,Student,1,0.2436
12,3012,0,1,CubSec,GH,0,0.0654
12,3012,1,0,CubSec,Student,0,0.1976
12,3012,1,1,Clayton,Clayton,1,0.1867
13,3013,0,0,Student,Student,1,0.2300
13,3013,0,1,CubSec,Student,0,0.0972
13,3013,1,0,CubSec,Student,0,0.1265
13,3013,1,1,Clayton,Clayton,1,0.2078
14,3014,0,0,Student,Student,1,0.2467
14,3014,0,1,CubSec,Student,0,0.1577
14,3014,1,0,CubSec,Student,0,0.2508
14,3014,1,1,Clayton,Clayton,1,0.1712
15,3015,0,0,Student,Student,1,0.2615
15,3015,0,1,CubSec,CubSec,1,0.1650
15,3015,1,0,CubSec,GH,0,0.1708
15,3015,1,1,Clayton,Clayton,1,0.1524
16,3016,0,0,Student,Student,1,0.2172
16,3016,0,1,CubSec,GH,0,0.1749
16,3016,1,0,CubSec,Clayton,0,0.1523
16,3016,1,1,Clayton,Clayton,1,0.1912
17,3017,0,0,Student,Student,1,0.2389
17,3017,0,1,CubSec,GH,0,0.1172
17,3017,1,0,CubSec,GH,0,0.1072
17,3017,1,1,Clayton,Clayton,1,0.1893
18,3018,0,0,Student,Student,1,0.2825
18,3018,0,1,CubSec,CubSec,1,0.1171
18,3018,1,0,CubSec,CubSec,1,0.0000
18,3018,1,1,Clayton,Clayton,1,0.1571
19,3019,0,0,Student,Student,1,0.2820
19,3019,0,1,CubSec,Student,0,0.1037
19,3019,1,0,CubSec,GH,0,0.0068
19,3019,1,1,Clayton,Clayton,1,0.1850
20,3020,0,0,Student,Student,1,0.2334
20,3020,0,1,CubSec,Clayton,0,0.1272
20,3020,1,0,CubSec,GH,0,0.0886
20,3020,1,1,Clayton,Clayton,1,0.1724
21,3021,0,0,Student,Student,1,0.2265
21,3021,0,1,CubSec,CubSec,1,0.0938
21,3021,1,0,CubSec,GH,0,0.0902
21,3021,1,1,Clayton,Clayton,1,0.1724
22,3022,0,0,Student,Student,1,0.2344
22,3022,0,1,CubSec,CubSec,1,0.1481
22,3022,1,0,CubSec,Clayton,0,0.1499
22,3022,1,1,Clayton,Clayton,1,0.1974
23,3023,0,0,Student,Student,1,0.2407
23,3023,0,1,CubSec,Clayton,0,0.1166
23,3023,1,0,CubSec,CubSec,1,0.1425
23,3023,1,1,Clayton,Clayton,1,0.2029
24,3024,0,0,Student,Student,1,0.2375
24,3024,0,1,CubSec,GH,0,0.1307
24,3024,1,0,CubSec,GH,0,0.1781
24,3024,1,1,Clayton,Clayton,1,0.1681
25,3025,0,0,Student,Student,1,0.2786
25,3025,0,1,CubSec,CubSec,1,0.0000
25,3025,1,0,CubSec,Student,0,0.0217
25,3025,1,1,Clayton,Clayton,1,0.1793
26,3026,0,0,Student,Student,1,0.2461
26,3026,0,1,CubSec,GH,0,0.1901
26,3026,1,0,CubSec,CubSec,1,0.0061
26,3026,1,1,Clayton,Clayton,1,0.2112
27,3027,0,0,Student,Student,1,0.2085
27,3027,0,1,CubSec,CubSec,1,0.0208
27,3027,1,0,CubSec,GH,0,0.1805
27,3027,1,1,Clayton,Clayton,1,0.1782
28,3028,0,0,Student,Student,1,0.2644
28,3028,0,1,CubSec,GH,0,0.0416
28,3028,1,0,CubSec,GH,0,0.2156
28,3028,1,1,Clayton,Clayton,1,0.2190
29,3029,0,0,Student,Student,1,0.2301
29,3029,0,1,CubSec,GH,0,0.1984
29,3029,1,0,CubSec,Student,0,0.2119
29,3029,1,1,Clayton,Clayton,1,0.1891
30,3030,0,0,Student,Student,1,0.2719
30,3030,0,1,CubSec,CubSec,1,0.1650
30,3030,1,0,CubSec,GH,0,0.1183
30,3030,1,1,Clayton,Clayton,1,0.2002
31,3031,0,0,Student,Student,1,0.2682
31,3031,0,1,CubSec,GH,0,0.0931
31,3031,1,0,CubSec,GH,0,0.2561
31,3031,1,1,Clayton,Clayton,1,0.1870
32,3032,0,0,Student,Student,1,0.2497
32,3032,0,1,CubSec,GH,0,0.1219
32,3032,1,0,CubSec,CubSec,1,0.1650
32,3032,1,1,Clayton,Clayton,1,0.2099
33,3033,0,0,Student,Student,1,0.2551
33,3033,0,1,CubSec,Student,0,0.1655
33,3033,1,0,CubSec,Student,0,0.1450
33,3033,1,1,Clayton,Clayton,1,0.1778
34,3034,0,0,Student,Student,1,0.2511
34,3034,0,1,CubSec,Clayton,0,0.1038
34,3034,1,0,CubSec,CubSec,1,0.0639
34,3034,1,1,Clayton,Clayton,1,0.1951
35,3035,0,0,Student,Student,1,0.2569
35,3035,0,1,CubSec,CubSec,1,0.1084
35,3035,1,0,CubSec,Student,0,0.0447
35,3035,1,1,Clayton,Clayton,1,0.1911
36,3036,0,0,Student,Student,1,0.2770
36,3036,0,1,CubSec,GH,0,0.1205
36,3036,1,0,CubSec,GH,0,0.0608
36,3036,1,1,Clayton,Clayton,1,0.1957
37,3037,0,0,Student,Student,1,0.2833
37,3037,0,1,CubSec,GH,0,0.1400
37,3037,1,0,CubSec,GH,0,0.0312
37,3037,1,1,Clayton,Clayton,1,0.2172
38,3038,0,0,Student,Student,1,0.2626
38,3038,0,1,CubSec,GH,0,0.0086
38,3038,1,0,CubSec,GH,0,0.1894
38,3038,1,1,Clayton,Clayton,1,0.1890
39,3039,0,0,Student,Student,1,0.2569
39,3039,0,1,CubSec,CubSec,1,0.0381
39,3039,1,0,CubSec,Clayton,0,0.0259
39,3039,1,1,Clayton,Clayton,1,0.2089
40,3040,0,0,Student,Student,1,0.2601
40,3040,0,1,CubSec,GH,0,0.1142
40,3040,1,0,CubSec,CubSec,1,0.0183
40,3040,1,1,Clayton,Clayton,1,0.1759
41,3041,0,0,Student,Student,1,0.2584
41,3041,0,1,CubSec,GH,0,0.1077
41,3041,1,0,CubSec,GH,0,0.1590
41,3041,1,1,Clayton,Clayton,1,0.2397
42,3042,0,0,Student,Student,1,0.2422
42,3042,0,1,CubSec,Student,0,-0.0503
42,3042,1,0,CubSec,GH,0,0.1144
42,3042,1,1,Clayton,Clayton,1,0.2090
43,3043,0,0,Student,Student,1,0.2006
43,3043,0,1,CubSec,GH,0,0.0967
43,3043,1,0,CubSec,GH,0,0.0218
43,3043,1,1,Clayton,Clayton,1,0.2067
44,3044,0,0,Student,Student,1,0.2260
44,3044,0,1,CubSec,Student,0,0.1952
44,3044,1,0,CubSec,Student,0,-0.1055
44,3044,1,1,Clayton,Clayton,1,0.2085
45,3045,0,0,Student,Student,1,0.2181
45,3045,0,1,CubSec,GH,0,0.1529
45,3045,1,0,CubSec,GH,0,0.0316
45,3045,1,1,Clayton,Clayton,1,0.2080
46,3046,0,0,Student,Student,1,0.2572
46,3046,0,1,CubSec,Clayton,0,0.1186
46,3046,1,0,CubSec,Student,0,0.1683
46,3046,1,1,Clayton,Clayton,1,0.1811
47,3047,0,0,Student,Student,1,0.2587
47,3047,0,1,CubSec,GH,0,0.0048
47,3047,1,0,CubSec,GH,0,0.0977
47,3047,1,1,Clayton,Clayton,1,0.1936
48,3048,0,0,Student,Student,1,0.2553
48,3048,0,1,CubSec,Student,0,0.2105
48,3048,1,0,CubSec,GH,0,0.1479
48,3048,1,1,Clayton,Clayton,1,0.1749
49,3049,0,0,Student,Student,1,0.2353
49,3049,0,1,CubSec,Student,0,0.1016
49,3049,1,0,CubSec,GH,0,0.2542
49,3049,1,1,Clayton,Clayton,1,0.1942
50,3050,0,0,Student,Student,1,0.2288
50,3050,0,1,CubSec,Student,0,0.0592
50,3050,1,0,CubSec,Student,0,0.1138
50,3050,1,1,Clayton,Clayton,1,0.1732
51,3051,0,0,Student,Student,1,0.2314
51,3051,0,1,CubSec,GH,0,0.2057
51,3051,1,0,CubSec,GH,0,0.1462
51,3051,1,1,Clayton,Clayton,1,0.2266
52,3052,0,0,Student,Student,1,0.2376
52,3052,0,1,CubSec,GH,0,0.1931
52,3052,1,0,CubSec,Student,0,0.2075
52,3052,1,1,Clayton,Clayton,1,0.1969
53,3053,0,0,Student,Student,1,0.2439
53,3053,0,1,CubSec,Clayton,0,0.0383
53,3053,1,0,CubSec,Clayton,0,0.0829
53,3053,1,1,Clayton,Clayton,1,0.2192
54,3054,0,0,Student,Student,1,0.2355
54,3054,0,1,CubSec,Clayton,0,0.0770
54,3054,1,0,CubSec,GH,0,0.1018
54,3054,1,1,Clayton,Clayton,1,0.2115
55,3055,0,0,Student,Student,1,0.2225
55,3055,0,1,CubSec,Clayton,0,0.0975
55,3055,1,0,CubSec,GH,0,0.1267
55,3055,1,1,Clayton,Clayton,1,0.1505
56,3056,0,0,Student,Student,1,0.2440
56,3056,0,1,CubSec,GH,0,0.1893
