run,seed,i,j,true_name,selected,hit,tau_hat
0,3000,0,0,Student,Student,1,0.2557
0,3000,0,1,CubSec,CubSec,1,0.1650
0,3000,1,0,CubSec,GH,0,0.1891
0,3000,1,1,Clayton,Clayton,1,0.1701
1,3001,0,0,Student,Student,1,0.2374
1,3001,0,1,CubSec,GH,0,0.1040
1,3001,1,0,CubSec,GH,0,0.1493
1,3001,1,1,Clayton,Clayton,1,0.1858
2,3002,0,0,Student,Student,1,0.2150
2,3002,0,1,CubSec,GH,0,0.0469
2,3002,1,0,CubSec,GH,0,0.0045
2,3002,1,1,Clayton,Clayton,1,0.1978
3,3003,0,0,Student,Student,1,0.2453
3,3003,0,1,CubSec,Clayton,0,0.0168
3,3003,1,0,CubSec,CubSec,1,0.1449
3,3003,1,1,Clayton,Clayton,1,0.1862
4,3004,0,0,Student,Student,1,0.2005
4,3004,0,1,CubSec,GH,0,0.1698
4,3004,1,0,CubSec,GH,0,0.1943
4,3004,1,1,Clayton,Clayton,1,0.1792
5,3005,0,0,Student,Student,1,0.2333
5,3005,0,1,CubSec,GH,0,0.0958
5,3005,1,0,CubSec,GH,0,0.2188
5,3005,1,1,Clayton,Clayton,1,0.1882
6,3006,0,0,Student,Student,1,0.2415
6,3006,0,1,CubSec,Clayton,0,0.1228
6,3006,1,0,CubSec,GH,0,0.0645
6,3006,1,1,Clayton,Clayton,1,0.1862
7,3007,0,0,Student,Student,1,0.2376
7,3007,0,1,CubSec,GH,0,0.0478
7,3007,1,0,CubSec,GH,0,0.0154
7,3007,1,1,Clayton,Clayton,1,0.2261
8,3008,0,0,Student,Student,1,0.2335
8,3008,0,1,CubSec,CubSec,1,0.0000
8,3008,1,0,CubSec,Student,0,0.0986
8,3008,1,1,Clayton,Clayton,1,0.1599
9,3009,0,0,Student,Student,1,0.2050
9,3009,0,1,CubSec,GH,0,0.1382
9,3009,1,0,CubSec,GH,0,0.0862
9,3009,1,1,Clayton,Clayton,1,0.1634
10,3010,0,0,Student,Student,1,0.2548
10,3010,0,1,CubSec,CubSec,1,0.1650
10,3010,1,0,CubSec,CubSec,1,0.1650
10,3010,1,1,Clayton,Clayton,1,0.2064
11,3011,0,0,Student,Student,1,0.2459
11,3011,0,1,CubSec,GH,0,0.1830
11,3011,1,0,CubSec,GH,0,0.2513
11,3011,1,1,Clayton,Clayton,1,0.2067
12,3012,0,0,Student,Student,1,0.2460
12,3012,0,1,CubSec,GH,0,0.0604
12,3012,1,0,CubSec,GH,0,0.1362
12,3012,1,1,Clayton,Clayton,1,0.1875
13,3013,0,0,Student,Student,1,0.2307
13,3013,0,1,CubSec,Student,0,0.0946
13,3013,1,0,CubSec,GH,0,0.1003
13,3013,1,1,Clayton,Clayton,1,0.2085
14,3014,0,0,Student,Student,1,0.2471
14,3014,0,1,CubSec,Student,0,0.1572
14,3014,1,0,CubSec,GH,0,0.2420
14,3014,1,1,Clayton,Clayton,1,0.1711
15,3015,0,0,Student,Student,1,0.2615
15,3015,0,1,CubSec,CubSec,1,0.1650
15,3015,1,0,CubSec,GH,0,0.1708
15,3015,1,1,Clayton,Clayton,1,0.1524
16,3016,0,0,Student,Student,1,0.2172
16,3016,0,1,CubSec,GH,0,0.1749
16,3016,1,0,CubSec,Clayton,0,0.1523
16,3016,1,1,Clayton,Clayton,1,0.1912
17,3017,0,0,Student,Student,1,0.2389
17,3017,0,1,CubSec,GH,0,0.1172
17,3017,1,0,CubSec,GH,0,0.1072
17,3017,1,1,Clayton,Clayton,1,0.1893
18,3018,0,0,Student,Student,1,0.2825
18,3018,0,1,CubSec,CubSec,1,0.1171
18,3018,1,0,CubSec,CubSec,1,0.0000
18,3018,1,1,Clayton,Clayton,1,0.1571
19,3019,0,0,Student,Student,1,0.2814
19,3019,0,1,CubSec,GH,0,0.1316
19,3019,1,0,CubSec,GH,0,0.0086
19,3019,1,1,Clayton,Clayton,1,0.1867
20,3020,0,0,Student,Student,1,0.2334
20,3020,0,1,CubSec,Clayton,0,0.1272
20,3020,1,0,CubSec,GH,0,0.0886
20,3020,1,1,Clayton,Clayton,1,0.1724
21,3021,0,0,Student,Student,1,0.2265
21,3021,0,1,CubSec,CubSec,1,0.0938
21,3021,1,0,CubSec,GH,0,0.0902
21,3021,1,1,Clayton,Clayton,1,0.1724
22,3022,0,0,Student,Student,1,0.2338
22,3022,0,1,CubSec,CubSec,1,0.1512
22,3022,1,0,CubSec,Clayton,0,0.1584
22,3022,1,1,Clayton,Clayton,1,0.1977
23,3023,0,0,Student,Student,1,0.2407
23,3023,0,1,CubSec,Clayton,0,0.1166
23,3023,1,0,CubSec,CubSec,1,0.1425
23,3023,1,1,Clayton,Clayton,1,0.2029
24,3024,0,0,Student,GH,0,0.2464
24,3024,0,1,CubSec,GH,0,0.0710
24,3024,1,0,CubSec,GH,0,0.1252
24,3024,1,1,Clayton,Clayton,1,0.1663
25,3025,0,0,Student,Student,1,0.2770
25,3025,0,1,CubSec,CubSec,1,0.0000
25,3025,1,0,CubSec,Clayton,0,0.0758
25,3025,1,1,Clayton,Clayton,1,0.1814
26,3026,0,0,Student,Student,1,0.2461
26,3026,0,1,CubSec,GH,0,0.1901
26,3026,1,0,CubSec,CubSec,1,0.0061
26,3026,1,1,Clayton,Clayton,1,0.2112
27,3027,0,0,Student,Student,1,0.2085
27,3027,0,1,CubSec,CubSec,1,0.0208
27,3027,1,0,CubSec,GH,0,0.1805
27,3027,1,1,Clayton,Clayton,1,0.1782
28,3028,0,0,Student,Student,1,0.2644
28,3028,0,1,CubSec,GH,0,0.0416
28,3028,1,0,CubSec,GH,0,0.2156
28,3028,1,1,Clayton,Clayton,1,0.2190
29,3029,0,0,Student,Student,1,0.2300
29,3029,0,1,CubSec,GH,0,0.1864
29,3029,1,0,CubSec,GH,0,0.1631
29,3029,1,1,Clayton,Clayton,1,0.1863
30,3030,0,0,Student,Student,1,0.2718
30,3030,0,1,CubSec,CubSec,1,0.1650
30,3030,1,0,CubSec,GH,0,0.1242
30,3030,1,1,Clayton,Clayton,1,0.2001
31,3031,0,0,Student,Student,1,0.2681
31,3031,0,1,CubSec,GH,0,0.0968
31,3031,1,0,CubSec,GH,0,0.2549
31,3031,1,1,Clayton,Clayton,1,0.1870
32,3032,0,0,Student,Student,1,0.2497
32,3032,0,1,CubSec,GH,0,0.1219
32,3032,1,0,CubSec,CubSec,1,0.1650
32,3032,1,1,Clayton,Clayton,1,0.2099
33,3033,0,0,Student,Student,1,0.2558
33,3033,0,1,CubSec,GH,0,0.2056
33,3033,1,0,CubSec,Clayton,0,0.1097
33,3033,1,1,Clayton,Clayton,1,0.1794
34,3034,0,0,Student,Student,1,0.2513
34,3034,0,1,CubSec,Clayton,0,0.1010
34,3034,1,0,CubSec,CubSec,1,0.0629
34,3034,1,1,Clayton,Clayton,1,0.1953
35,3035,0,0,Student,Student,1,0.2573
35,3035,0,1,CubSec,CubSec,1,0.1075
35,3035,1,0,CubSec,GH,0,0.0716
35,3035,1,1,Clayton,Clayton,1,0.1922
36,3036,0,0,Student,Student,1,0.2770
36,3036,0,1,CubSec,GH,0,0.1205
36,3036,1,0,CubSec,GH,0,0.0608
36,3036,1,1,Clayton,Clayton,1,0.1957
37,3037,0,0,Student,Student,1,0.2833
37,3037,0,1,CubSec,GH,0,0.1400
37,3037,1,0,CubSec,GH,0,0.0312
37,3037,1,1,Clayton,Clayton,1,0.2172
38,3038,0,0,Student,Student,1,0.2629
38,3038,0,1,CubSec,GH,0,0.0058
38,3038,1,0,CubSec,GH,0,0.1868
38,3038,1,1,Clayton,Clayton,1,0.1908
39,3039,0,0,Student,Student,1,0.2569
39,3039,0,1,CubSec,CubSec,1,0.0381
39,3039,1,0,CubSec,Clayton,0,0.0259
39,3039,1,1,Clayton,Clayton,1,0.2089
40,3040,0,0,Student,Student,1,0.2600
40,3040,0,1,CubSec,GH,0,0.1212
40,3040,1,0,CubSec,CubSec,1,0.0210
40,3040,1,1,Clayton,Clayton,1,0.1760
41,3041,0,0,Student,Student,1,0.2584
41,3041,0,1,CubSec,GH,0,0.1077
41,3041,1,0,CubSec,GH,0,0.1590
41,3041,1,1,Clayton,Clayton,1,0.2397
42,3042,0,0,Student,Student,1,0.2426
42,3042,0,1,CubSec,CubSec,1,0.0000
42,3042,1,0,CubSec,GH,0,0.0980
42,3042,1,1,Clayton,Clayton,1,0.2112
43,3043,0,0,Student,Student,1,0.2006
43,3043,0,1,CubSec,GH,0,0.0989
43,3043,1,0,CubSec,GH,0,0.0209
43,3043,1,1,Clayton,Clayton,1,0.2067
44,3044,0,0,Student,Student,1,0.2260
44,3044,0,1,CubSec,Student,0,0.1952
44,3044,1,0,CubSec,Student,0,-0.1055
44,3044,1,1,Clayton,Clayton,1,0.2085
45,3045,0,0,Student,Student,1,0.2154
45,3045,0,1,CubSec,GH,0,0.1510
45,3045,1,0,CubSec,GH,0,0.0642
45,3045,1,1,Clayton,Clayton,1,0.2060
46,3046,0,0,Student,Student,1,0.2570
46,3046,0,1,CubSec,Clayton,0,0.1148
46,3046,1,0,CubSec,Clayton,0,0.1586
46,3046,1,1,Clayton,Clayton,1,0.1840
47,3047,0,0,Student,Student,1,0.2587
47,3047,0,1,CubSec,GH,0,0.0048
47,3047,1,0,CubSec,GH,0,0.0977
47,3047,1,1,Clayton,Clayton,1,0.1936
48,3048,0,0,Student,Student,1,0.2556
48,3048,0,1,CubSec,Clayton,0,0.2483
48,3048,1,0,CubSec,GH,0,0.1393
48,3048,1,1,Clayton,Clayton,1,0.1791
49,3049,0,0,Student,Student,1,0.2324
49,3049,0,1,CubSec,GH,0,0.1465
49,3049,1,0,CubSec,GH,0,0.2369
49,3049,1,1,Clayton,Clayton,1,0.1917
50,3050,0,0,Student,Student,1,0.2273
50,3050,0,1,CubSec,GH,0,0.1167
50,3050,1,0,CubSec,Clayton,0,0.1559
50,3050,1,1,Clayton,Clayton,1,0.1793
51,3051,0,0,Student,Student,1,0.2314
51,3051,0,1,CubSec,GH,0,0.2057
51,3051,1,0,CubSec,GH,0,0.1462
51,3051,1,1,Clayton,Clayton,1,0.2266
52,3052,0,0,Student,Student,1,0.2396
52,3052,0,1,CubSec,GH,0,0.1836
52,3052,1,0,CubSec,GH,0,0.1493
52,3052,1,1,Clayton,Clayton,1,0.1959
53,3053,0,0,Student,Student,1,0.2451
53,3053,0,1,CubSec,CubSec,1,0.0373
53,3053,1,0,CubSec,CubSec,1,0.0934
53,3053,1,1,Clayton,Clayton,1,0.2190
54,3054,0,0,Student,Student,1,0.2355
54,3054,0,1,CubSec,Clayton,0,0.0782
54,3054,1,0,CubSec,GH,0,0.1003
54,3054,1,1,Clayton,Clayton,1,0.2116
55,3055,0,0,Student,Student,1,0.2225
55,3055,0,1,CubSec,Clayton,0,0.0975
55,3055,1,0,CubSec,GH,0,0.1267
55,3055,1,1,Clayton,Clayton,1,0.1505
56,3056,0,0,Student,Student,1,0.2434
