run,seed,i,j,true_name,selected,hit,tau_hat
0,3000,0,0,Student,GH,0,0.2763
0,3000,0,1,CubSec,CubSec,1,0.1406
0,3000,1,0,CubSec,GH,0,0.1245
0,3000,1,1,Clayton,Clayton,1,0.1739
1,3001,0,0,Student,GH,0,0.2520
1,3001,0,1,CubSec,CubSec,1,0.0373
1,3001,1,0,CubSec,CubSec,1,0.0000
1,3001,1,1,Clayton,Clayton,1,0.1895
2,3002,0,0,Student,GH,0,0.2169
2,3002,0,1,CubSec,GH,0,0.0001
2,3002,1,0,CubSec,CubSec,1,0.0000
2,3002,1,1,Clayton,GH,0,0.1582
3,3003,0,0,Student,GH,0,0.2702
3,3003,0,1,CubSec,CubSec,1,0.0000
3,3003,1,0,CubSec,Clayton,0,0.0001
3,3003,1,1,Clayton,Clayton,1,0.1868
4,3004,0,0,Student,GH,0,0.2253
4,3004,0,1,CubSec,GH,0,0.1093
4,3004,1,0,CubSec,GH,0,0.1092
4,3004,1,1,Clayton,CubSec,0,0.1456
5,3005,0,0,Student,GH,0,0.2335
5,3005,0,1,CubSec,Clayton,0,0.0001
5,3005,1,0,CubSec,GH,0,0.1654
5,3005,1,1,Clayton,CubSec,0,0.1650
6,3006,0,0,Student,GH,0,0.2865
6,3006,0,1,CubSec,Clayton,0,0.0310
6,3006,1,0,CubSec,GH,0,0.0001
6,3006,1,1,Clayton,CubSec,0,0.1473
7,3007,0,0,Student,GH,0,0.2156
7,3007,0,1,CubSec,GH,0,0.0139
7,3007,1,0,CubSec,GH,0,0.0001
7,3007,1,1,Clayton,Clayton,1,0.1916
8,3008,0,0,Student,CubSec,0,0.1618
8,3008,0,1,CubSec,CubSec,1,0.0000
8,3008,1,0,CubSec,GH,0,0.1289
8,3008,1,1,Clayton,GH,0,0.0772
9,3009,0,0,Student,GH,0,0.2062
9,3009,0,1,CubSec,GH,0,0.0633
9,3009,1,0,CubSec,Clayton,0,0.0001
9,3009,1,1,Clayton,GH,0,0.1079
10,3010,0,0,Student,GH,0,0.2737
10,3010,0,1,CubSec,CubSec,1,0.1297
10,3010,1,0,CubSec,CubSec,1,0.1152
10,3010,1,1,Clayton,GH,0,0.1314
11,3011,0,0,Student,GH,0,0.2622
11,3011,0,1,CubSec,GH,0,0.1629
11,3011,1,0,CubSec,GH,0,0.1401
11,3011,1,1,Clayton,Clayton,1,0.2140
12,3012,0,0,Student,GH,0,0.3012
12,3012,0,1,CubSec,Clayton,0,0.0001
12,3012,1,0,CubSec,GH,0,0.0001
12,3012,1,1,Clayton,CubSec,0,0.1631
13,3013,0,0,Student,GH,0,0.2564
13,3013,0,1,CubSec,GH,0,0.0001
13,3013,1,0,CubSec,CubSec,1,0.0000
13,3013,1,1,Clayton,CubSec,0,0.1598
14,3014,0,0,Student,GH,0,0.2735
14,3014,0,1,CubSec,GH,0,0.0001
14,3014,1,0,CubSec,GH,0,0.0985
14,3014,1,1,Clayton,Clayton,1,0.1766
15,3015,0,0,Student,GH,0,0.3036
15,3015,0,1,CubSec,CubSec,1,0.0361
15,3015,1,0,CubSec,Clayton,0,0.0001
15,3015,1,1,Clayton,Clayton,1,0.1539
16,3016,0,0,Student,Clayton,0,0.1859
16,3016,0,1,CubSec,GH,0,0.1053
16,3016,1,0,CubSec,CubSec,1,0.0437
16,3016,1,1,Clayton,Clayton,1,0.1961
17,3017,0,0,Student,GH,0,0.2760
17,3017,0,1,CubSec,CubSec,1,0.0000
17,3017,1,0,CubSec,CubSec,1,0.0000
17,3017,1,1,Clayton,Clayton,1,0.2001
18,3018,0,0,Student,GH,0,0.2947
18,3018,0,1,CubSec,GH,0,0.0259
18,3018,1,0,CubSec,CubSec,1,0.0000
18,3018,1,1,Clayton,Clayton,1,0.1543
19,3019,0,0,Student,GH,0,0.3154
19,3019,0,1,CubSec,GH,0,0.0001
19,3019,1,0,CubSec,CubSec,1,0.0000
19,3019,1,1,Clayton,CubSec,0,0.1650
20,3020,0,0,Student,GH,0,0.2384
20,3020,0,1,CubSec,CubSec,1,0.1149
20,3020,1,0,CubSec,GH,0,0.0246
20,3020,1,1,Clayton,Clayton,1,0.1739
21,3021,0,0,Student,GH,0,0.2467
21,3021,0,1,CubSec,CubSec,1,0.0000
21,3021,1,0,CubSec,GH,0,0.0534
21,3021,1,1,Clayton,GH,0,0.1037
22,3022,0,0,Student,GH,0,0.2601
22,3022,0,1,CubSec,CubSec,1,0.0162
22,3022,1,0,CubSec,GH,0,0.0001
22,3022,1,1,Clayton,Clayton,1,0.1974
23,3023,0,0,Student,GH,0,0.2679
23,3023,0,1,CubSec,CubSec,1,0.0067
23,3023,1,0,CubSec,CubSec,1,0.0158
23,3023,1,1,Clayton,Clayton,1,0.2008
24,3024,0,0,Student,GH,0,0.2460
24,3024,0,1,CubSec,GH,0,0.0754
24,3024,1,0,CubSec,GH,0,0.1238
