run,seed,i,j,true_name,selected,hit,tau_hat
0,3000,0,0,Student,Student,1,0.2553
0,3000,0,1,CubSec,CubSec,1,0.1650
0,3000,1,0,CubSec,Student,0,0.2378
0,3000,1,1,Clayton,Clayton,1,0.1741
1,3001,0,0,Student,Student,1,0.2356
1,3001,0,1,CubSec,Student,0,0.1559
1,3001,1,0,CubSec,Student,0,0.1204
1,3001,1,1,Clayton,Clayton,1,0.1864
2,3002,0,0,Student,Student,1,0.2150
2,3002,0,1,CubSec,GH,0,0.0429
2,3002,1,0,CubSec,GH,0,0.0088
2,3002,1,1,Clayton,Clayton,1,0.1950
3,3003,0,0,Student,Student,1,0.2451
3,3003,0,1,CubSec,GH,0,0.0001
3,3003,1,0,CubSec,CubSec,1,0.1650
3,3003,1,1,Clayton,Clayton,1,0.1852
4,3004,0,0,Student,Student,1,0.1993
4,3004,0,1,CubSec,Student,0,0.2012
4,3004,1,0,CubSec,GH,0,0.2038
4,3004,1,1,Clayton,Clayton,1,0.1827
5,3005,0,0,Student,Student,1,0.2314
5,3005,0,1,CubSec,GH,0,0.1019
5,3005,1,0,CubSec,Student,0,0.1927
5,3005,1,1,Clayton,CubSec,0,0.1650
6,3006,0,0,Student,Student,1,0.2427
6,3006,0,1,CubSec,CubSec,1,0.1650
6,3006,1,0,CubSec,GH,0,0.0559
6,3006,1,1,Clayton,Clayton,1,0.1856
7,3007,0,0,Student,Student,1,0.2379
7,3007,0,1,CubSec,Student,0,0.0065
7,3007,1,0,CubSec,CubSec,1,0.0000
7,3007,1,1,Clayton,Clayton,1,0.2244
8,3008,0,0,Student,Student,1,0.2334
8,3008,0,1,CubSec,CubSec,1,0.0000
8,3008,1,0,CubSec,Student,0,0.1006
8,3008,1,1,Clayton,Clayton,1,0.1599
9,3009,0,0,Student,Student,1,0.2051
9,3009,0,1,CubSec,Student,0,0.1037
9,3009,1,0,CubSec,GH,0,0.0997
9,3009,1,1,Clayton,Clayton,1,0.1629
10,3010,0,0,Student,Student,1,0.2549
10,3010,0,1,CubSec,CubSec,1,0.1650
10,3010,1,0,CubSec,CubSec,1,0.1634
10,3010,1,1,Clayton,Clayton,1,0.2065
11,3011,0,0,Student,Student,1,0.2446
11,3011,0,1,CubSec,GH,0,0.1797
11,3011,1,0,CubSec,Student,0,0.2598
11,3011,1,1,Clayton,Clayton,1,0.2077
12,3012,0,0,Student,Student,1,0.2424
12,3012,0,1,CubSec,Student,0,0.0889
12,3012,1,0,CubSec,Student,0,0.1999
12,3012,1,1,Clayton,Clayton,1,0.1867
13,3013,0,0,Student,Student,1,0.2300
13,3013,0,1,CubSec,Student,0,0.0972
13,3013,1,0,CubSec,Student,0,0.1265
13,3013,1,1,Clayton,Clayton,1,0.2078
14,3014,0,0,Student,Student,1,0.2467
14,3014,0,1,CubSec,Student,0,0.1577
14,3014,1,0,CubSec,Student,0,0.2508
14,3014,1,1,Clayton,Clayton,1,0.1712
15,3015,0,0,Student,Student,1,0.2621
15,3015,0,1,CubSec,Student,0,0.1844
15,3015,1,0,CubSec,GH,0,0.1665
15,3015,1,1,Clayton,Clayton,1,0.1524
16,3016,0,0,Student,Student,1,0.2191
