config,criterion,run,i,j,true,sel,hit
exp1_orig_p,mle,0,0,0,Gauss,GH,0
exp1_orig_p,mle,0,0,1,GH,GH,1
exp1_orig_p,mle,0,1,0,GH,Gauss,0
exp1_orig_p,mle,0,1,1,Clayton,Clayton,1
exp1_orig_p,mle,1,0,0,Gauss,GH,0
exp1_orig_p,mle,1,0,1,GH,Gauss,0
exp1_orig_p,mle,1,1,0,GH,Gauss,0
exp1_orig_p,mle,1,1,1,Clayton,Clayton,1
exp1_orig_p,mle,2,0,0,Gauss,Clayton,0
exp1_orig_p,mle,2,0,1,GH,Gauss,0
exp1_orig_p,mle,2,1,0,GH,Clayton,0
exp1_orig_p,mle,2,1,1,Clayton,Clayton,1
exp1_orig_p,mle,3,0,0,Gauss,Gauss,1
exp1_orig_p,mle,3,0,1,GH,Clayton,0
exp1_orig_p,mle,3,1,0,GH,GH,1
exp1_orig_p,mle,3,1,1,Clayton,Clayton,1
exp1_orig_p,mle,4,0,0,Gauss,GH,0
exp1_orig_p,mle,4,0,1,GH,Gauss,0
exp1_orig_p,mle,4,1,0,GH,Gauss,0
exp1_orig_p,mle,4,1,1,Clayton,Clayton,1
exp1_orig_p,mle,5,0,0,Gauss,GH,0
exp1_orig_p,mle,5,0,1,GH,Clayton,0
exp1_orig_p,mle,5,1,0,GH,Gauss,0
exp1_orig_p,mle,5,1,1,Clayton,Clayton,1
exp1_orig_p,mle,6,0,0,Gauss,Gauss,1
exp1_orig_p,mle,6,0,1,GH,Clayton,0
exp1_orig_p,mle,6,1,0,GH,GH,1
exp1_orig_p,mle,6,1,1,Clayton,Clayton,1
exp1_orig_p,mle,7,0,0,Gauss,GH,0
exp1_orig_p,mle,7,0,1,GH,Clayton,0
exp1_orig_p,mle,7,1,0,GH,GH,1
exp1_orig_p,mle,7,1,1,Clayton,Clayton,1
exp1_orig_p,mle,8,0,0,Gauss,GH,0
exp1_orig_p,mle,8,0,1,GH,Clayton,0
exp1_orig_p,mle,8,1,0,GH,Clayton,0
exp1_orig_p,mle,8,1,1,Clayton,Clayton,1
exp1_orig_p,mle,9,0,0,Gauss,GH,0
exp1_orig_p,mle,9,0,1,GH,GH,1
exp1_orig_p,mle,9,1,0,GH,GH,1
exp1_orig_p,mle,9,1,1,Clayton,Clayton,1
exp1_orig_p,mle,10,0,0,Gauss,Clayton,0
exp1_orig_p,mle,10,0,1,GH,Gauss,0
exp1_orig_p,mle,10,1,0,GH,Gauss,0
exp1_orig_p,mle,10,1,1,Clayton,Clayton,1
exp1_orig_p,mle,11,0,0,Gauss,GH,0
exp1_orig_p,mle,11,0,1,GH,Clayton,0
exp1_orig_p,mle,11,1,0,GH,GH,1
exp1_orig_p,mle,11,1,1,Clayton,Clayton,1
