config,criterion,run,i,j,true,sel,hit
exp1_orig_p,huard_global,0,0,0,Gauss,GH,0
exp1_orig_p,huard_global,0,0,1,GH,GH,1
exp1_orig_p,huard_global,0,1,0,GH,Gauss,0
exp1_orig_p,huard_global,0,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,1,0,0,Gauss,GH,0
exp1_orig_p,huard_global,1,0,1,GH,Gauss,0
exp1_orig_p,huard_global,1,1,0,GH,Gauss,0
exp1_orig_p,huard_global,1,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,2,0,0,Gauss,Clayton,0
exp1_orig_p,huard_global,2,0,1,GH,Gauss,0
exp1_orig_p,huard_global,2,1,0,GH,Clayton,0
exp1_orig_p,huard_global,2,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,3,0,0,Gauss,Gauss,1
exp1_orig_p,huard_global,3,0,1,GH,Clayton,0
exp1_orig_p,huard_global,3,1,0,GH,GH,1
exp1_orig_p,huard_global,3,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,4,0,0,Gauss,GH,0
exp1_orig_p,huard_global,4,0,1,GH,Gauss,0
exp1_orig_p,huard_global,4,1,0,GH,Gauss,0
exp1_orig_p,huard_global,4,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,5,0,0,Gauss,GH,0
exp1_orig_p,huard_global,5,0,1,GH,Clayton,0
exp1_orig_p,huard_global,5,1,0,GH,Gauss,0
exp1_orig_p,huard_global,5,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,6,0,0,Gauss,Gauss,1
exp1_orig_p,huard_global,6,0,1,GH,Clayton,0
exp1_orig_p,huard_global,6,1,0,GH,GH,1
exp1_orig_p,huard_global,6,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,7,0,0,Gauss,GH,0
exp1_orig_p,huard_global,7,0,1,GH,Clayton,0
exp1_orig_p,huard_global,7,1,0,GH,GH,1
exp1_orig_p,huard_global,7,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,8,0,0,Gauss,GH,0
exp1_orig_p,huard_global,8,0,1,GH,Clayton,0
exp1_orig_p,huard_global,8,1,0,GH,Clayton,0
exp1_orig_p,huard_global,8,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,9,0,0,Gauss,GH,0
exp1_orig_p,huard_global,9,0,1,GH,GH,1
exp1_orig_p,huard_global,9,1,0,GH,GH,1
exp1_orig_p,huard_global,9,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,10,0,0,Gauss,Clayton,0
exp1_orig_p,huard_global,10,0,1,GH,Gauss,0
exp1_orig_p,huard_global,10,1,0,GH,Clayton,0
exp1_orig_p,huard_global,10,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,11,0,0,Gauss,GH,0
exp1_orig_p,huard_global,11,0,1,GH,Clayton,0
exp1_orig_p,huard_global,11,1,0,GH,GH,1
exp1_orig_p,huard_global,11,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,12,0,0,Gauss,GH,0
exp1_orig_p,huard_global,12,0,1,GH,Clayton,0
exp1_orig_p,huard_global,12,1,0,GH,Clayton,0
exp1_orig_p,huard_global,12,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,13,0,0,Gauss,GH,0
exp1_orig_p,huard_global,13,0,1,GH,Clayton,0
exp1_orig_p,huard_global,13,1,0,GH,GH,1
exp1_orig_p,huard_global,13,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,14,0,0,Gauss,GH,0
exp1_orig_p,huard_global,14,0,1,GH,Gauss,0
exp1_orig_p,huard_global,14,1,0,GH,GH,1
exp1_orig_p,huard_global,14,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,15,0,0,Gauss,Clayton,0
exp1_orig_p,huard_global,15,0,1,GH,GH,1
exp1_orig_p,huard_global,15,1,0,GH,Gauss,0
exp1_orig_p,huard_global,15,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,16,0,0,Gauss,GH,0
exp1_orig_p,huard_global,16,0,1,GH,Clayton,0
exp1_orig_p,huard_global,16,1,0,GH,Gauss,0
exp1_orig_p,huard_global,16,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,17,0,0,Gauss,GH,0
exp1_orig_p,huard_global,17,0,1,GH,Clayton,0
exp1_orig_p,huard_global,17,1,0,GH,Clayton,0
exp1_orig_p,huard_global,17,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,18,0,0,Gauss,GH,0
exp1_orig_p,huard_global,18,0,1,GH,GH,1
exp1_orig_p,huard_global,18,1,0,GH,GH,1
exp1_orig_p,huard_global,18,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,19,0,0,Gauss,GH,0
exp1_orig_p,huard_global,19,0,1,GH,Clayton,0
exp1_orig_p,huard_global,19,1,0,GH,Clayton,0
exp1_orig_p,huard_global,19,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,20,0,0,Gauss,GH,0
exp1_orig_p,huard_global,20,0,1,GH,Gauss,0
exp1_orig_p,huard_global,20,1,0,GH,Clayton,0
exp1_orig_p,huard_global,20,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,21,0,0,Gauss,Gauss,1
exp1_orig_p,huard_global,21,0,1,GH,Clayton,0
exp1_orig_p,huard_global,21,1,0,GH,Gauss,0
exp1_orig_p,huard_global,21,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,22,0,0,Gauss,Clayton,0
exp1_orig_p,huard_global,22,0,1,GH,Clayton,0
exp1_orig_p,huard_global,22,1,0,GH,Gauss,0
exp1_orig_p,huard_global,22,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,23,0,0,Gauss,GH,0
exp1_orig_p,huard_global,23,0,1,GH,Gauss,0
exp1_orig_p,huard_global,23,1,0,GH,Gauss,0
exp1_orig_p,huard_global,23,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,24,0,0,Gauss,GH,0
exp1_orig_p,huard_global,24,0,1,GH,GH,1
exp1_orig_p,huard_global,24,1,0,GH,Clayton,0
exp1_orig_p,huard_global,24,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,25,0,0,Gauss,Gauss,1
exp1_orig_p,huard_global,25,0,1,GH,Gauss,0
exp1_orig_p,huard_global,25,1,0,GH,Clayton,0
exp1_orig_p,huard_global,25,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,26,0,0,Gauss,GH,0
exp1_orig_p,huard_global,26,0,1,GH,GH,1
exp1_orig_p,huard_global,26,1,0,GH,Clayton,0
exp1_orig_p,huard_global,26,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,27,0,0,Gauss,GH,0
exp1_orig_p,huard_global,27,0,1,GH,Gauss,0
exp1_orig_p,huard_global,27,1,0,GH,GH,1
exp1_orig_p,huard_global,27,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,28,0,0,Gauss,GH,0
exp1_orig_p,huard_global,28,0,1,GH,Clayton,0
exp1_orig_p,huard_global,28,1,0,GH,Gauss,0
exp1_orig_p,huard_global,28,1,1,Clayton,Clayton,1
exp1_orig_p,huard_global,29,0,0,Gauss,Gauss,1
exp1_orig_p,huard_global,29,0,1,GH,Clayton,0
