family,rotation,par1,par2
gaussian,0,-0.9,
gaussian,0,-0.4,
gaussian,0,0.05,
gaussian,0,0.3,
gaussian,0,0.7,
gaussian,0,0.95,
student,0,-0.7,2.5
student,0,-0.7,6.3
student,0,-0.7,25
student,0,0.2,2.5
student,0,0.2,6.3
student,0,0.2,25
student,0,0.85,2.5
student,0,0.85,6.3
student,0,0.85,25
frank,0,-30,
frank,0,-8,
frank,0,-0.5,
frank,0,0.2,
frank,0,2,
frank,0,12,
clayton,0,0.1,
clayton,0,0.7,
clayton,0,2.5,
clayton,0,9,
clayton,180,0.3,
clayton,180,2,
clayton,180,8,
clayton,90,0.3,
clayton,90,2,
clayton,90,8,
clayton,270,0.3,
clayton,270,2,
clayton,270,8,
gumbel,0,1.05,
gumbel,0,1.5,
gumbel,0,3,
gumbel,0,7,
gumbel,180,1.2,
gumbel,180,2.5,
gumbel,180,6,
gumbel,90,1.2,
gumbel,90,2.5,
gumbel,90,6,
gumbel,270,1.2,
gumbel,270,2.5,
gumbel,270,6,
joe,0,1.05,
joe,0,1.6,
joe,0,3.5,
joe,0,9,
joe,180,1.3,
joe,180,2.5,
joe,180,7,
joe,90,1.3,
joe,90,2.5,
joe,90,7,
joe,270,1.3,
joe,270,2.5,
joe,270,7,
