family,rotation,par1,par2,par3
galambos,0,0.3,,
galambos,0,1.5,,
galambos,0,5,,
husler_reiss,0,0.4,,
husler_reiss,0,1.5,,
husler_reiss,0,5,,
tev,0,-0.3,2,
tev,0,0.5,4,
tev,0,0.8,10,
tawn,0,1.5,1,0.6
tawn,0,4,1,0.3
tawn,0,4,0.3,1
tawn,0,2.5,0.8,1
tawn,0,2,0.7,0.9
tawn,0,6,0.35,0.8
plackett,0,0.15,,
plackett,0,3,,
plackett,0,25,,
amh,0,-0.9,,
amh,0,0.4,,
amh,0,0.95,,
fgm,0,-0.8,,
fgm,0,0.35,,
fgm,0,1,,
a12,0,1.3,,
a12,0,3,,
a12,0,8,,
a12,90,1.3,,
a12,90,3,,
a12,90,8,,
a12,270,1.3,,
a12,270,3,,
a12,270,8,,
a14,0,1.3,,
a14,0,3,,
a14,0,8,,
a14,90,1.3,,
a14,90,3,,
a14,90,8,,
a14,270,1.3,,
a14,270,3,,
a14,270,8,,
